date,store_id,sku_id,category,qty,price,promo
2024-01-01,215,64500,Ноутбуки,3,34421.86,0
2024-01-01,215,64501,Ноутбуки,0,24544.98,0
2024-01-01,215,64502,Ноутбуки,4,20481.38,0
2024-01-01,215,64503,Ноутбуки,3,26865.47,0
2024-01-01,215,64504,Ноутбуки,2,38835.07,0
2024-01-01,215,64505,Смартфони,8,29648.67,0
2024-01-01,215,64506,Смартфони,17,9023.44,0
2024-01-01,215,64507,Смартфони,15,14776.16,0
2024-01-01,215,64508,Смартфони,16,14565.64,1
2024-01-01,215,64509,Смартфони,15,32768.82,0
2024-01-01,215,64510,Холодильники,4,24094.59,0
2024-01-01,215,64511,Холодильники,5,19957.65,0
2024-01-01,215,64512,Холодильники,7,32876.24,1
2024-01-01,215,64513,Холодильники,2,34998.38,0
2024-01-01,215,64514,Холодильники,4,22054.42,0
2024-01-01,312,64500,Ноутбуки,1,34951.8,0
2024-01-01,312,64501,Ноутбуки,3,23774.17,1
2024-01-01,312,64502,Ноутбуки,6,18911.71,1
2024-01-01,312,64503,Ноутбуки,1,26106.22,0
2024-01-01,312,64504,Ноутбуки,3,35696.16,1
2024-01-01,312,64505,Смартфони,10,28823.21,0
2024-01-01,312,64506,Смартфони,6,9243.08,0
2024-01-01,312,64507,Смартфони,7,14305.56,0
2024-01-01,312,64508,Смартфони,10,17079.49,0
2024-01-01,312,64509,Смартфони,6,35854.32,0
2024-01-01,312,64510,Холодильники,2,24607.82,0
2024-01-01,312,64511,Холодильники,5,19331.32,0
2024-01-01,312,64512,Холодильники,2,35635.22,0
2024-01-01,312,64513,Холодильники,3,36328.52,0
2024-01-01,312,64514,Холодильники,0,21827.64,0
2024-01-02,215,64500,Ноутбуки,2,34923.18,0
2024-01-02,215,64501,Ноутбуки,3,27234.12,0
2024-01-02,215,64502,Ноутбуки,9,20210.56,0
2024-01-02,215,64503,Ноутбуки,5,26808.98,0
2024-01-02,215,64504,Ноутбуки,3,39188.38,0
2024-01-02,215,64505,Смартфони,5,30011.26,0
2024-01-02,215,64506,Смартфони,16,9304.08,0
2024-01-02,215,64507,Смартфони,8,13902.08,0
2024-01-02,215,64508,Смартфони,9,17109.93,0
2024-01-02,215,64509,Смартфони,13,34707.59,0
2024-01-02,215,64510,Холодильники,4,24608.87,0
2024-01-02,215,64511,Холодильники,6,18984.99,0
2024-01-02,215,64512,Холодильники,5,34071.73,0
2024-01-02,215,64513,Холодильники,3,36806.92,0
2024-01-02,215,64514,Холодильники,2,22584.42,0
2024-01-02,312,64500,Ноутбуки,0,35722.69,0
2024-01-02,312,64501,Ноутбуки,5,25101.64,0
2024-01-02,312,64502,Ноутбуки,4,20345.59,0
2024-01-02,312,64503,Ноутбуки,3,27060.82,0
2024-01-02,312,64504,Ноутбуки,3,41699.42,0
2024-01-02,312,64505,Смартфони,4,28666.54,0
2024-01-02,312,64506,Смартфони,10,8480.38,1
2024-01-02,312,64507,Смартфони,5,14018.63,0
2024-01-02,312,64508,Смартфони,8,17680.36,0
2024-01-02,312,64509,Смартфони,14,33795.91,0
2024-01-02,312,64510,Холодильники,4,24590.0,0
2024-01-02,312,64511,Холодильники,4,19881.39,0
2024-01-02,312,64512,Холодильники,2,35658.37,0
2024-01-02,312,64513,Холодильники,2,35698.53,0
2024-01-02,312,64514,Холодильники,0,23043.92,0
2024-01-03,215,64500,Ноутбуки,2,34751.87,0
2024-01-03,215,64501,Ноутбуки,5,23589.51,0
2024-01-03,215,64502,Ноутбуки,6,21868.36,0
2024-01-03,215,64503,Ноутбуки,4,24178.7,0
2024-01-03,215,64504,Ноутбуки,3,42520.97,0
2024-01-03,215,64505,Смартфони,3,28770.88,0
2024-01-03,215,64506,Смартфони,14,9418.31,0
2024-01-03,215,64507,Смартфони,15,14323.42,0
2024-01-03,215,64508,Смартфони,16,16540.79,0
2024-01-03,215,64509,Смартфони,17,32834.42,0
2024-01-03,215,64510,Холодильники,3,24286.1,0
2024-01-03,215,64511,Холодильники,2,19322.85,0
2024-01-03,215,64512,Холодильники,4,34408.71,0
2024-01-03,215,64513,Холодильники,3,35765.78,0
2024-01-03,215,64514,Холодильники,7,21490.32,0
2024-01-03,312,64500,Ноутбуки,0,30859.32,1
2024-01-03,312,64501,Ноутбуки,2,24541.16,0
2024-01-03,312,64502,Ноутбуки,4,20805.86,0
2024-01-03,312,64503,Ноутбуки,5,25838.87,0
2024-01-03,312,64504,Ноутбуки,4,34302.73,1
2024-01-03,312,64505,Смартфони,1,30952.86,0
2024-01-03,312,64506,Смартфони,11,9274.59,0
2024-01-03,312,64507,Смартфони,7,14029.13,0
2024-01-03,312,64508,Смартфони,6,15715.92,0
2024-01-03,312,64509,Смартфони,10,34022.64,0
2024-01-03,312,64510,Холодильники,4,24092.48,0
2024-01-03,312,64511,Холодильники,3,19096.86,0
2024-01-03,312,64512,Холодильники,1,34543.98,0
2024-01-03,312,64513,Холодильники,5,34974.95,0
2024-01-03,312,64514,Холодильники,1,22453.08,0
2024-01-04,215,64500,Ноутбуки,6,32932.81,1
2024-01-04,215,64501,Ноутбуки,1,23937.8,0
2024-01-04,215,64502,Ноутбуки,7,21410.29,0
2024-01-04,215,64503,Ноутбуки,2,25528.43,0
2024-01-04,215,64504,Ноутбуки,1,38992.17,0
2024-01-04,215,64505,Смартфони,7,29120.07,0
2024-01-04,215,64506,Смартфони,7,9026.88,0
2024-01-04,215,64507,Смартфони,26,12678.16,1
2024-01-04,215,64508,Смартфони,6,17210.36,0
2024-01-04,215,64509,Смартфони,11,34020.11,0
2024-01-04,215,64510,Холодильники,6,22512.89,1
2024-01-04,215,64511,Холодильники,4,16906.58,1
2024-01-04,215,64512,Холодильники,3,36050.72,0
2024-01-04,215,64513,Холодильники,2,34232.75,0
2024-01-04,215,64514,Холодильники,1,22263.93,0
2024-01-04,312,64500,Ноутбуки,4,33418.27,0
2024-01-04,312,64501,Ноутбуки,3,21451.54,1
2024-01-04,312,64502,Ноутбуки,6,21805.4,0
2024-01-04,312,64503,Ноутбуки,4,26283.26,0
2024-01-04,312,64504,Ноутбуки,7,40508.67,0
2024-01-04,312,64505,Смартфони,1,29443.22,0
2024-01-04,312,64506,Смартфони,8,9289.8,0
2024-01-04,312,64507,Смартфони,18,12903.1,1
2024-01-04,312,64508,Смартфони,7,16977.08,0
2024-01-04,312,64509,Смартфони,12,32010.54,0
2024-01-04,312,64510,Холодильники,2,23831.8,0
2024-01-04,312,64511,Холодильники,5,20080.71,0
2024-01-04,312,64512,Холодильники,5,34679.15,0
2024-01-04,312,64513,Холодильники,1,37397.07,0
2024-01-04,312,64514,Холодильники,3,19693.58,1
2024-01-05,215,64500,Ноутбуки,5,32278.97,1
2024-01-05,215,64501,Ноутбуки,1,26448.67,0
2024-01-05,215,64502,Ноутбуки,6,21101.41,0
2024-01-05,215,64503,Ноутбуки,1,24654.59,0
2024-01-05,215,64504,Ноутбуки,7,35384.64,1
2024-01-05,215,64505,Смартфони,4,30004.36,0
2024-01-05,215,64506,Смартфони,18,9708.05,0
2024-01-05,215,64507,Смартфони,10,14325.38,0
2024-01-05,215,64508,Смартфони,6,16491.16,0
2024-01-05,215,64509,Смартфони,18,35067.62,0
2024-01-05,215,64510,Холодильники,2,23529.97,0
2024-01-05,215,64511,Холодильники,2,20392.93,0
2024-01-05,215,64512,Холодильники,3,35468.74,0
2024-01-05,215,64513,Холодильники,4,36419.64,0
2024-01-05,215,64514,Холодильники,3,22042.17,0
2024-01-05,312,64500,Ноутбуки,1,32996.1,0
2024-01-05,312,64501,Ноутбуки,0,26478.66,0
2024-01-05,312,64502,Ноутбуки,5,20238.92,0
2024-01-05,312,64503,Ноутбуки,5,26502.5,0
2024-01-05,312,64504,Ноутбуки,3,42154.59,0
2024-01-05,312,64505,Смартфони,9,25512.08,1
2024-01-05,312,64506,Смартфони,5,9539.57,0
2024-01-05,312,64507,Смартфони,9,14137.12,0
2024-01-05,312,64508,Смартфони,21,14078.41,1
2024-01-05,312,64509,Смартфони,9,33328.79,0
2024-01-05,312,64510,Холодильники,3,24404.01,0
2024-01-05,312,64511,Холодильники,7,18739.61,0
2024-01-05,312,64512,Холодильники,3,36073.26,0
2024-01-05,312,64513,Холодильники,4,35930.5,0
2024-01-05,312,64514,Холодильники,1,22390.98,0
2024-01-06,215,64500,Ноутбуки,1,34725.63,0
2024-01-06,215,64501,Ноутбуки,3,25544.94,0
2024-01-06,215,64502,Ноутбуки,12,20223.08,0
2024-01-06,215,64503,Ноутбуки,8,24548.0,0
2024-01-06,215,64504,Ноутбуки,10,39993.95,0
2024-01-06,215,64505,Смартфони,11,30789.12,0
2024-01-06,215,64506,Смартфони,14,9344.48,0
2024-01-06,215,64507,Смартфони,15,14748.23,0
2024-01-06,215,64508,Смартфони,9,17373.54,0
2024-01-06,215,64509,Смартфони,15,34112.1,0
2024-01-06,215,64510,Холодильники,6,24177.82,0
2024-01-06,215,64511,Холодильники,8,17398.45,1
2024-01-06,215,64512,Холодильники,5,33083.64,0
2024-01-06,215,64513,Холодильники,1,33853.59,0
2024-01-06,215,64514,Холодильники,1,18999.9,1
2024-01-06,312,64500,Ноутбуки,5,32232.85,1
