sales_id,sales_date,sku_id,store_id,qty,price,promo,amount
100048,2024-01-05,64503,215,1,40788.25,False,40788.25
100020,2024-01-11,64501,215,2,25378.86,False,50757.72
100010,2024-01-23,64508,312,13,9093.81,False,118219.53
100066,2024-01-25,64513,215,2,25510.97,False,51021.94
100062,2024-01-25,64505,312,9,14108.75,False,126978.75
100023,2024-01-26,64504,312,9,40034.99,False,360314.91
100029,2024-01-26,64509,312,9,31928.78,False,287359.02
100086,2024-02-02,64513,215,0,25969.48,False,0.0
100057,2024-02-03,64508,312,10,8091.61,True,80916.1
100060,2024-02-07,64503,215,3,40056.01,False,120168.03
100005,2024-02-10,64501,215,5,25206.82,False,126034.1
100014,2024-02-14,64502,312,4,28179.62,False,112718.48
100070,2024-02-17,64512,215,5,35834.53,False,179172.65
100034,2024-02-18,64509,215,15,32533.6,False,488004.0
100012,2024-02-22,64512,312,4,37193.78,False,148775.12
100072,2024-02-23,64514,215,5,37486.06,False,187430.3
100011,2024-03-05,64511,215,3,31023.12,False,93069.36
100065,2024-03-07,64501,215,2,26115.45,False,52230.9
100074,2024-03-09,64514,312,2,38069.72,False,76139.44
100047,2024-03-23,64512,215,4,32888.46,True,131553.84
100017,2024-03-25,64512,312,3,36888.04,False,110664.12
100021,2024-04-05,64508,312,11,9120.59,False,100326.49
100093,2024-04-06,64508,215,9,9316.8,False,83851.2
100046,2024-04-07,64509,215,6,32424.46,False,194546.76
100052,2024-04-12,64512,215,7,36689.08,False,256823.56
100033,2024-04-13,64501,312,11,25271.21,False,277983.31
100016,2024-04-14,64506,312,16,16795.24,False,268723.84
100043,2024-04-16,64511,215,2,31825.38,False,63650.76
100096,2024-04-23,64508,215,16,8482.13,True,135714.08
100030,2024-04-23,64506,312,10,16530.13,False,165301.3
100050,2024-05-03,64508,312,12,9005.79,False,108069.48
100006,2024-05-04,64514,312,5,35977.78,False,179888.9
100058,2024-05-05,64502,312,6,25368.68,True,152212.08
100031,2024-05-23,64503,312,4,39847.62,False,159390.48
100091,2024-06-03,64512,312,1,34149.51,True,34149.51
100009,2024-06-05,64513,215,5,25981.19,False,129905.95
100075,2024-06-06,64503,312,2,40143.15,False,80286.3
100008,2024-06-11,64511,312,6,32518.11,False,195108.66
